id,trigger,conditions,script,text,options,notes
sunrider_mission2_scanCompleteGargoyle2,DialogOptionSelected,$option == sunrider_mission2_scanCompleteGargoyle2,"ShowPersonVisual true sunrider_ava
HideSecondPerson","It's not long before Ava is back on the bridge. As she steps next to you, you lean over and inquire how she found Gargoyle.

She seems to choke for a moment. ""He's, um, quite the character. I've dealt with some... eccentric figures back on the old Sunrider, too, but none quite like this.""

Well, at least she survived the experience. You briefly wonder just what her old crew must have been like.",sunrider_mission2_scanComplete3:Load the data,
sunrider_mission2_scanCompleteKween1,DialogOptionSelected,$option == sunrider_mission2_scanCompleteKween1,"AddRemoveCommodity gamma_core -1
ShowDefaultVisual","$personLastName grins as you send over the requested material. ""Very good, Captain! I shall begin immediately. Now just leave everything to me and I shall ensure every little secret stays per-fect-ly safe.""

$personLastName closes the commlink. Ava afterwards takes a shuttle down to Sindria, to assist with the operation.",sunrider_mission2_scanCompleteKween2:Continue,
sunrider_mission2_scanCompleteKween1Friend,DialogOptionSelected,"$option == sunrider_mission2_scanCompleteKween1
$kweeniapetusship score:10",ShowDefaultVisual,"$personLastName is absolutely giddy with excitement, her smile unerringly wide. ""Good... good!"" She says. ""I shall be heading up to see this personally. And don't you worry, I promise I won't break anything during my visit.""

$personLastName closes the comm link on $hisOrHer end, leaving you and Ava to wait for the $personPost to arrive. After a bit of waiting, a shuttle arrives to dock to the Sunrider. Ava departs to join $personLastName and to assist. Part of you wonders if you should join the two, but decide that it would be for the best to not involve yourself.",sunrider_mission2_scanCompleteKween2:Continue,
sunrider_mission2_scanCompleteKween2,DialogOptionSelected,$option == sunrider_mission2_scanCompleteKween2,"ShowPersonVisual true sfckween
$player.sfckweenfavor++","$personLastName recontacts with you, Ava standing next to the $personPost. ""Ah, truly that was something interesting. Everything is accounted for, and your friend here was of enough help. I shall leave you to it now.""",sunrider_mission2_scanCompleteKweenPost:Thank Kween and have Ava return to the $shipOrFleet,
sunrider_mission2_scanCompleteKween2Friend,DialogOptionSelected,"$option == sunrider_mission2_scanCompleteKween2
$kweeniapetusship score:10","ShowPersonVisual true sfckween
SetEnabled sunrider_mission2_scanCompleteKween3Alt false
SetTooltip sunrider_mission2_scanCompleteKween3Alt ""Ava would kill you.""
$player.sfckweenfavor++","$personLastName contacts you, with both her and Ava appearing on the screen. There is an eerie smile on $personLastName's face as she takes a moment to collect herself.
  
""That... was quite the experience, Captain. Such a marvelous, beautiful ship! Mmm... what I would give to study it a bit more..."" $personLastName remarks. ""Ah... would you be so willing to indulge a woman's request Captain?""
  
Before you can respond, you receive a message on your TriPad, $personLastName's offer right there: 10 Million credits.
  
""Well?""","sunrider_mission2_scanCompleteKween3Alt:Accept
sunrider_mission2_scanCompleteKween3:Decline",
sunrider_mission2_scanCompleteKween3,DialogOptionSelected,$option == sunrider_mission2_scanCompleteKween3,,"$personLastName looks at you with disappointment, but nonetheless does $hisOrHer best to hide it. ""Very well, I understand. Still, I appreciate you providing me the opportunity to see this. Ah, and the scan is complete, took only a few hours to get done. Anyway, farewell, Captain. I hope to see you again soon.""",sunrider_mission2_scanCompleteKweenPost:Thank Kween and have Ava return to the $shipOrFleet,
sunrider_mission2_scanCompleteKweenPost,DialogOptionSelected,$option == sunrider_mission2_scanCompleteKweenPost,"ShowPersonVisual true sunrider_ava
FireAll Sunrider_mission2_scanCompleteKweenPostCheck","It's not long before Ava is back on the bridge. As she steps next to you, you lean over and inquire how she found Kween.

""She..."" Ava seems to be choosing her words carefully. ""I will be honest; Dr. Kween's manners were excellent on the surface, but I felt something wrong about her. Like a deep hunger for something I don't know,"" she covers her eyepatch with a hand, ""one which she will stop at nothing to sate.""",sunrider_mission2_scanComplete3:Put it out of your mind and load the data,
sunrider_mission2_scanCompleteKweenPostCheckLowRep,Sunrider_mission2_scanCompleteKweenPostCheck,$rel < 0.3,,"You don't know Kween well enough to say whether Ava's right. At least, either way, she's done as you asked.",,
sunrider_mission2_scanCompleteKweenPostCheckHighRep,Sunrider_mission2_scanCompleteKweenPostCheck,$rel >= 0.3,,"She's not wrong. You've been around Yunris long enough to know that. But for now, does it matter?",,
,,,,,,
sunrider_mission2_scanComplete3,DialogOptionSelected,$option == sunrider_mission2_scanComplete3,"ShowImageVisual SunriderAvaNeutral
Call $global.sunrider_mission2_ref addBlueprint
Sunrider_PlayInteractionMusic Colors_sad true","""The Savior,"" Ava says, looking at the distorted image projected before the two of you. ""The Sunrider's primary armament after the Vanguard Cannon. Triple-barrel anti-armor batteries, able to slag a cruiser in a few volleys. Even battleships will break with sustained fire.""",sunrider_mission2_scanComplete4:Continue,TODO: Show a fake Savior blueprint here?
sunrider_mission2_scanComplete4,DialogOptionSelected,$option == sunrider_mission2_scanComplete4,ShowImageVisual SunriderGalaxyMap,"You set aside the blueprints and look at the map.

From this view along the galactic axis, it looks just like the Milky Way, but none of the polities or locations marked on it are ones you've ever heard of, except from Ava. And conversely, nothing of the Domain is indicated on it, including the Persean Sector.

Colors filling the space between the stars marks the territory of powers great and small: PACT, the Solar Alliance, the Neutral Rim, the Mining Union and the fallen Holy Ryuvian Empire. Ava marks planets and star systems of note, places with names like Cera, Ryuvia Prime, Far Port, Tydaria and Ongess.",sunrider_mission2_scanComplete5:Continue,
sunrider_mission2_scanComplete5,DialogOptionSelected,$option == sunrider_mission2_scanComplete5,,"""This map is authentic, right?"" you ask. ""Or is there a possibility of tampering or corruption?""

Ava shakes her head. ""Everything is exactly as I remembered it, Captain. This is the map of the galaxy I came from.""",sunrider_mission2_scanComplete6:Take a deep breath,
sunrider_mission2_scanComplete6,DialogOptionSelected,$option == sunrider_mission2_scanComplete6,ShowImageVisual SunriderAvaNeutral,"""Ava, I can only conclude that you and your ship were warped from a galaxy so distant we won’t ever be able to see it.""

It is even stranger that she doesn’t look surprised or shaken. Perhaps her good eye shimmers, for just an instant... or is it merely a trick of the light?

Her voice is emotionless. ""I started thinking the same weeks before I met you, $PlayerSirOrMadam. Looks like your curiosity about me just confirmed it.""",sunrider_mission2_scanCompleteEnd:Continue,
sunrider_mission2_scanCompleteEnd,DialogOptionSelected,$option == sunrider_mission2_scanCompleteEnd,"AddStoryPoints 1
Call $global.sunrider_mission2_ref complete
EndConversation
ShowDefaultVisual
FireAll PopulateOptions
Sunrider_PlayInteractionMusic","""But don’t worry, I’m fine. I already accepted the fact that I'll never see my friends or family again. There’s nothing to be done, captain.""",,
#END Ava quest 2,,,,,,
,,,,,,
# Ava quest 3,,,,,,
sunrider_mission3_prompt,MarketPostDock,"!$global.sunrider_seenMission3
!$global.sunrider_mission3_delay
Sunrider_MiscFunctions canShowMission3","ShowPersonVisual true sunrider_ava
$global.sunrider_seenMission3 = true
BeginMission sunrider_mission3","As your $shipOrFleet docks at $name, you receive a message from Ava Crescentia.

""I've reviewed the battle data from our Nightmare encounter, Captain. I'd like to discuss tactics when you have the time.""",sunrider_mission3_promptContinue:Continue,
sunrider_mission3_promptContinue,DialogOptionSelected,$option == sunrider_mission3_promptContinue,"ShowDefaultVisual
EndConversation DO_NOT_FIRE
FireBest MarketPostDock",,,
sunrider_mission3_convo1,DialogOptionSelected,$option == sunrider_mission3_convo1,ShowImageVisual SunriderAvaNeutral,"You notify Ava to join you in your office.

She shows up on schedule to the second, her officer's uniform and her salute crisp as ever. ""I've brought that briefing you requested, captain.""",sunrider_mission3_convo2:Invite her to take a seat,
sunrider_mission3_convo2,DialogOptionSelected,$option == sunrider_mission3_convo2,,"She sits down and turns on the projection function on her TriPad. ""Comparing my encounters with yours, they were not only visibly, but also tactically crippled. Their missing sword and reduced shielding and point defense were the most notable differences, but I also noticed that they have weaknesses that can be easily exploited by this sector’s ships and weapons.""","sunrider_mission3_convo3:Ask her to elaborate
sunrider_mission3_convo_workHard1:""You've worked all this out already?""",
sunrider_mission3_convo_workHard1,DialogOptionSelected,$option == sunrider_mission3_convo_workHard1,,"""Well, I've been studying the ships and weapons of this universe since I arrived, even before joining your fleet. I've also gone over the battles I've fought while under your command. I think I now have an adequate grasp of the capabilities of your military technology and how it might be best applied against those of my universe.""","sunrider_mission3_convo_workHard2:""Aren’t you pushing yourself a little too hard?""
sunrider_mission3_convo3:Let her continue",
sunrider_mission3_convo_workHard2,DialogOptionSelected,$option == sunrider_mission3_convo_workHard2,AdjustRepPerson sunrider_ava WELCOMING 2,"She looks surprised. ""It is part of my work as your officer, isn’t it?""

""Ava, you are an excessive workaholic in comparison to anyone else in the crew. You already do more than what you are paid for. Just relax a little. I don’t know how it was like in the old Sunrider, but take it easier here, will you?""

She looks away for a second, then nods and quietly says ""As you wish, $playerSirOrMadam... I will try."" You catch her muttering under her breath ""...just like him.""",sunrider_mission3_convo3:Continue with the briefing,
sunrider_mission3_convo3,DialogOptionSelected,$option == sunrider_mission3_convo3,"Call $global.sunrider_mission3_ref showNightmare
Highlight ""High Explosive"" ""Kinetics"" ""Tachyon Lance""","""First, the basics. Due to their thin armor rating, High Explosive weapons are not the most useful against them. They'll still hurt if they connect, of course, but...""

She thumps a hand on the desk for effect. ""Kinetics. Lots and lots of kinetics. It'll overwhelm their shields. Then when they're vulnerable, I believe the Tachyon Lance will be particularly effective.

""The Liberty and your Harbinger-class destroyer can also briefly overload their shields. It's not much of a window of opportunity, but it might help since their engines stop functioning when they get overloaded.""","sunrider_mission3_convo4:""Anything else?""",
sunrider_mission3_convo4,DialogOptionSelected,$option == sunrider_mission3_convo4,Highlight Fighters,"""Another key danger of the Nightmares is the massive damage they can inflict on even capital ships. However, if we do not present them with such high-value targets... Fighters, captain. Swamp them enough and they'll be too busy to kill our ships.""","sunrider_mission3_convo5:""That'll be pretty hard on the fighter pilots.""",
sunrider_mission3_convo5,DialogOptionSelected,$option == sunrider_mission3_convo5,,"Her eye shows no hint of apology. ""Better to lose ten or a hundred Broadswords than a Paragon, captain.""

Cold-blooded, but the military logic is undeniable. If you don't like it, well, it's time to cease doing any job in the Sector that requires combat.","sunrider_mission3_convoEnd:Thank her for the briefing
sunrider_mission3_convo6:""Do you think that there are more of them in the sector?""",
sunrider_mission3_convo6,DialogOptionSelected,$option == sunrider_mission3_convo6,ShowImageVisual SunriderAvaNeutral,"""I don’t know... but if there are more, I’d like to be prepared."" She takes a deep breath and looks at the far bulkhead for a moment. ""We never know what to expect from Ryuvian lost technology.""","sunrider_mission3_convo7:""What is the worst of this Ryuvian technology?""
sunrider_mission3_convoEnd:Thank her for the briefing",
sunrider_mission3_convo7,DialogOptionSelected,$option == sunrider_mission3_convo7,,"""I'm not sure if I have seen THE worst, but the ancient Ryuvians, well... borrowing Sola di Ryuvia's words... they possessed the power to not only destroy themselves, but to collapse the entire universe into a singularity. The superdreadnought Sharr'Lac could activate its Final Tear weapon to destroy almost anything within a half-light-year radius – excepting itself.""

""Honestly, this is not very easy to believe,"" you say.

""True. But how many of the people here would believe that you fought a pair of frigate-sized units that, even when not at full power, were about as tough as an Onslaught and capable of ripping one apart in a matter of seconds?""","sunrider_mission3_convoEnd:""You have a point, I guess. Thank you for the report.""
sunrider_mission3_convo8:""Any chance we could have recovered one of these Nightmares?""
",
sunrider_mission3_convo8,DialogOptionSelected,$option == sunrider_mission3_convo8,,"""There is no record of anyone ever having taken a Nightmare in one piece, captain.""",sunrider_mission3_convoEnd:End,
sunrider_mission3_convoEnd,DialogOptionSelected,$option == sunrider_mission3_convoEnd,"Call $global.sunrider_mission3_ref complete
DismissDialog",,,
#END Ava quest 3,,,,,,
,,,,,,
# Ava quest 4,,,,,,
sunrider_mission4_introOpt,AddBarEvents,"Sunrider_MiscFunctions isAvaInParty
$global.sunrider_mission2_doneOrSkipped
!$global.sunrider_mission4_delay
!$global.sunrider_mission4_seenMission","AddBarEvent sunrider_mission4_intro1 ""Go help Ava out"" ""Someone seems to be harassing Ava Crescentia. This might require intervention."" highlight",,,
sunrider_mission4_intro1,DialogOptionSelected,$option == sunrider_mission4_intro1,"Sunrider_MiscFunctions createMission sunrider_mission4
BeginConversation sunrider_bumble true false
Call $global.sunrider_mission4_ref updateData
ShowSecondPerson sunrider_ava
$global.sunrider_mission4_seenMission = true","When you get there, Ava looks like she's about to yell, punch someone, or most probably both. Luckily, she sees you approaching and quickly takes a step back, nodding.

You turn to the drunk man, not yet reaching for your sidearm. ""What's going on here?""

Despite his clear inebriation, he seems to quickly realize the implications of your presence, or perhaps that of the bodyguards trailing you. ""Eh? B-Begging your pardon, $playerSirOrMadam, I didn't mean to-""

He puts on a ragged smile. ""Name's Garney Bumble. Let me~ hic~ buy you a drink, eh? As a token of my apology.""","sunrider_mission4_intro2Skip:Accept
sunrider_mission4_intro2:Tell him to leave Ava alone",
sunrider_mission4_intro2,DialogOptionSelected,$option == sunrider_mission4_intro2,HideSecondPerson,"""Oh, I'm sorry about that. I just~ hic! Need someone to talk to... my days travelling the stars have come to an end.""

It's starting to look like a wonder that he can speak or even stand.

""So how about that drink, eh?""","sunrider_mission4_intro3:Accept
sunrider_mission4_introAbort:Warn him off and leave [terminates quest]",
sunrider_mission4_intro2Skip,DialogOptionSelected,$option == sunrider_mission4_intro2Skip,"ShowPersonVisual true sunrider_bumble
HideSecondPerson
$option = sunrider_mission4_intro3 0
FireBest DialogOptionSelected",,,
sunrider_mission4_intro3,DialogOptionSelected,$option == sunrider_mission4_intro3,,"The order he passes to the bartender is for the cheapest booze in the joint. It barely qualifies as a beverage, even; more of an industrial solvent. Ava flatly refuses when $personLastName tries to offer her one as well.

""If you came~ hic! Earlier, I'd have challenged you to a duel because you look like a tough fellow spacer."" He swills his beer. ""Ah, but that's in the past now.""","sunrider_mission4_intro4:Raise an eyebrow
sunrider_mission4_intro4Alt:Wait for him to elaborate",
sunrider_mission4_intro4,DialogOptionSelected,$option == sunrider_mission4_intro4,Highlight $sunrider_mission4_targetSystem,"""I... I lost my fleet, destroyed by a pirate... the only thing that esca~ hic! Was my shuttle."" 

He empties an entire glass with one sip. There's no stopping this one and now you know why.

""The one in charge was called Yosh... somethi~ hic! I don’t know... All I remember is that it happened in the $sunrider_mission4_targetSystem system near a lifeless horde of green and red ships... I think...""

""Look, I'm not aski~ hic! You to avenge me, I'm just... ugh, never mind, excuse me..."" 

It seems that he’s already over his limit as he covers his mouth and rushes to the nearest restroom. ",sunrider_mission4_intro5:Continue,
sunrider_mission4_intro4Alt,DialogOptionSelected,$option == sunrider_mission4_intro4Alt,"$option = sunrider_mission4_intro4 0
FireBest DialogOptionSelected",,,
sunrider_mission4_intro5,DialogOptionSelected,$option == sunrider_mission4_intro5,ShowPersonVisual true sunrider_ava,"You don’t know what to make of the fact that he could remember where he lost his fleet despite being so drunk and depressed. 

Ava approaches you with annoyance in her face. ""Good grief,"" she says, sighing.","sunrider_mission4_intro6a:""Are you alright?""
sunrider_mission4_intro6b:""Did he touch you?""
",
sunrider_mission4_intro6a,DialogOptionSelected,$option == sunrider_mission4_intro6a,"$option = sunrider_mission4_intro6c 0
FireBest DialogOptionSelected","""Yes, thank you again, captain.""",,
sunrider_mission4_intro6b,DialogOptionSelected,$option == sunrider_mission4_intro6b,"$option = sunrider_mission4_intro6c 0
FireBest DialogOptionSelected","""If he had, he'd be in an ambulance right now."" She rubs the knuckles of her gloved hand, pseudoleather over composite matrix.",,
sunrider_mission4_intro6c,DialogOptionSelected,$option == sunrider_mission4_intro6c,,"Her expression goes neutral. ""Although something he said, about derelict green and red ships, not of this Sector... I have my suspicions. Do you think it’s worth checking out?""

Even if there's nothing more to it, taking out a marauding salvage fleet may be worthwhile in itself.","sunrider_mission4_introAccept:Log the location of the supposed battle
sunrider_mission4_introAbort2:""No, let’s forget about this."" [terminates quest]
",
sunrider_mission4_introAccept,DialogOptionSelected,$option == sunrider_mission4_introAccept,"Call $global.sunrider_mission4_ref accept
EndConversation DO_NOT_FIRE
RestoreSavedVisual
BarCMD showOptions",You have Ava record the details. $sunrider_mission4_targetSystem... you'll check it out when you have the time.,,
sunrider_mission4_introAbort,DialogOptionSelected,$option == sunrider_mission4_introAbort,"$global.sunrider_mission4_doneOrSkipped = true
EndConversation DO_NOT_FIRE
RestoreSavedVisual
BarCMD showOptions","""If you bother any of my people again...""

There's no real need to finish the threat. You turn away, leaving the trembling spacer, Ava falling in by your side.",,
sunrider_mission4_introAbort2,DialogOptionSelected,$option == sunrider_mission4_introAbort2,"$global.sunrider_mission4_doneOrSkipped = true
EndConversation DO_NOT_FIRE
RestoreSavedVisual
BarCMD showOptions",The ramblings of a drunk are no basis for an expedition into the fringe. You put the encounter out of your mind.,,
sunrider_mission4_encounterBegin,BeginFleetEncounter,"!$ignorePlayerCommRequests
$sunrider_mission4_fleet score:1100","FleetDesc
HailPlayer
unset $hailing
$genericHail_isHailing = true 0
OpenComms",,,
sunrider_mission4_encounterHail,Sunrider_M4Hail,,"$entity.ignorePlayerCommRequests = true
Call $global.sunrider_mission4 updateData
unset $entity.genericHail_isHailing
FireAll Sunrider_M4PostHail","""Hello there, $playerName. You don’t know me, but my dad said you visited him with a certain one-eyed... erm... I mean, a brown-haired girl to recover her alien white ship. I insisted that he should recover it, but no... he left and sold his phase fleet, the doddering old fool.

""But now I finally have the chance and power to get it myself. How about you hand both over to me and nobody gets hurt?"" 

He moves his glasses down and leans his head forward, waiting for your response.","sunrider_mission4_encounter2a:""I have no idea what you’re talking about.""
sunrider_mission4_encounter2b:""Very demanding, aren’t we?""
sunrider_mission4_encounter2c:(lie) ""Do you mean Ava Crescentia and the Sunrider? They’re not even here.""
sunrider_mission4_encounterEnd:Refuse",
sunrider_mission4_encounterHailCannotLie,Sunrider_M4PostHail,Sunrider_MiscFunctions haveSunrider,"SetEnabled sunrider_mission4_encounter2c false
SetTooltip sunrider_mission4_encounter2c ""He can clearly see the Sunrider in your fleet.""",,,
sunrider_mission4_encounter2a,DialogOptionSelected,$option == sunrider_mission4_encounter2a,FireAll Sunrider_M4PostHail,"He leans back. ""In that case, let me make it clear for you. I want Ava Crescentia and the ship with 'Sunrider' written on its sides under my custody.""","sunrider_mission4_encounter2b:""Very demanding, aren’t we?""
sunrider_mission4_encounter2c:(lie) ""They’re not even here.""
sunrider_mission4_encounter3:""What do you want with them anyway?""
sunrider_mission4_encounterEnd:Refuse",
sunrider_mission4_encounter2b,DialogOptionSelected,$option == sunrider_mission4_encounter2b,,"""Look, friend,"" he leans back , ""my dad found them first, so I’m in all my rights to claim them for myself. So, are you handing them to me or not?"" 

It becomes more and more visible that something is clearly wrong with this guy, and he doesn’t seem to want to leave you alone.","sunrider_mission4_encounter3:""What do you want with them anyway?""
sunrider_mission4_encounterEnd:Refuse",
sunrider_mission4_encounter2c,DialogOptionSelected,$option == sunrider_mission4_encounter2c,,"""How unfortunate. You will take me to them, then?""

You can’t tell if he doesn’t believe you or just wants to make fun of you. Either way, it becomes more and more visible that something is clearly wrong with this guy, and he doesn’t seem to want to leave you alone.","sunrider_mission4_encounter3:""What do you want with them anyway?""
sunrider_mission4_encounterEnd:Refuse",
sunrider_mission4_encounter3,DialogOptionSelected,$option == sunrider_mission4_encounter3,ShowSecondPerson sunrider_ava,"""That’s none of your business, $playerName.""

Before you reply, a third party joins the comm link; it’s Ava.

""Hello, $personFirstName,"" she says with the tone of a cryovolcanic world. ""What a surprise meeting you here.""",sunrider_mission4_encounter4:Continue,
sunrider_mission4_encounter4,DialogOptionSelected,$option == sunrider_mission4_encounter4,,"At this sight, $personLastName's careful facade of calm calculation collapses.

""It's you, damned whore! I saved your life, and this is how you show your gratitude?! I will teach you respect! But first, I will kill every single one of your friends and it will be all your fault!""

Ava smiles, if a wolf's bare fangs can be called a smile. ""You're welcome to try, $personFirstName."" Her image winks out as her hand comes down hard on the disconnect button. ",cutCommLink:Cut the comm link and go to battle stations,
sunrider_mission4_encounterEnd,DialogOptionSelected,$option == sunrider_mission4_encounterEnd,"ShowDefaultVisual
EndConversation"," ""Oh, how unfortunate, and such a waste. Ah well...""

He cuts the comm link. Your fleet goes to battle stations.",,
sunrider_mission4_encounterReportWin,Sunrider_Mission4_FleetDefeated,,Call $global.sunrider_mission4_ref wonEncounter,,,
sunrider_mission4_encounterAfter1,Sunrider_Mission4_PostEncounterDialogStart,,"Call $global.sunrider_mission4_ref postEncounterDialog
ShowImageVisual space_wreckage","Yoshio's fleet was indeed comprised of ships from Ava's galaxy, from the polities named 'PACT' and 'Solar Alliance'. Your salvor teams consult with her as they work their way across what remains of the said fleet; she's more experienced with these systems than anyone in the Sector.

During a brief lull in the comm chatter, you receive a transmission from Ava. She asks to speak to you in person. Alone.",sunrider_mission4_encounterAfter2:Meet with Ava,
sunrider_mission4_encounterAfter2,DialogOptionSelected,$option == sunrider_mission4_encounterAfter2,BeginConversation sunrider_ava true false,"As soon as you two are alone, she doesn’t waste time after her usual salute. 

""Do you remember Jinta Suzuki? That guy we just blew up was Yoshio Suzuki, his son.""","sunrider_mission4_encounterAfter3:""So, you knew him.""",
sunrider_mission4_encounterAfter3,DialogOptionSelected,$option == sunrider_mission4_encounterAfter3,,"""Yes. While I was still in Jinta’s fleet, Yoshio was the second in command. He not only claimed to have personally saved me, which the crew always denied, but also kept hitting on me until Jinta dropped me where you and I first met.""","sunrider_mission4_encounterAfter4:""That must’ve been annoying.""",
sunrider_mission4_encounterAfter4,DialogOptionSelected,$option == sunrider_mission4_encounterAfter4,,"""Indeed. I knew he was out of his mind from the start, but not to this level. To be honest, I'm not even sorry for Jinta for losing such an obsessive creep of a son.""

""Do you know why he wanted you and your ship?""

""I do not."" She makes a face. ""And to be honest, I don’t want to know.""","sunrider_mission4_encounterAfter5:""Should we tell Jinta?""
sunrider_mission4_encounterAfter6:Say nothing",
sunrider_mission4_encounterAfter5,DialogOptionSelected,$option == sunrider_mission4_encounterAfter5,"$option = sunrider_mission4_encounterAfter6
FireBest DialogOptionSelected","""'Your son freaked out and we had to kill him.'"" She shakes her head. ""Let’s just not do that. I don’t think it’d be a good idea, no matter what words you’d want to use.""

It's certainly not a conversation you'd want to have.",,
sunrider_mission4_encounterAfter6,DialogOptionSelected,$option == sunrider_mission4_encounterAfter6,,"""That's all I wanted to say, $playerSirOrMadam."" She salutes again. ""We should return to the salvage operation.""",sunrider_mission4_encounterAfter7:Leave,
sunrider_mission4_encounterAfter7,DialogOptionSelected,$option == sunrider_mission4_encounterAfter7,"Call $global.sunrider_mission4_ref afterPostEncounterDialog
EndConversation
DismissDialog",,,
sunrider_mission4_salvage1,OpenInteractionDialog,$sunrider_mission4_carrier score:1000,"Call $global.sunrider_mission4_ref updateData
ShowImageVisual space_wreckage
Call $global.sunrider_mission4_ref addPACTSupports","Your $shipOrFleet approaches the derelict.

This ship was being towed in Yoshio's fleet. It's barely distinguishable from a dead hulk; why he bothered at all is unclear.

Salvage teams find no crew aboard. They do locate a pair of red ryders with big rings attached to their shoulders. Look like the shield emitters on the Liberty and Bianca. The ship itself should also yield a fair number of resources.",sunrider_mission4_salvage2:Continue,
sunrider_mission4_salvage1Dev,OpenInteractionDialog,"$sunrider_mission4_carrier score:1000
$global.isDevMode","Call $global.sunrider_mission4_ref updateData
ShowImageVisual space_wreckage
Call $global.sunrider_mission4_ref addPACTSupports","Your $shipOrFleet approaches the derelict.

This vessel was being towed in Yoshio's fleet. It's barely distinguishable from a dead hulk; why he bothered at all is unclear.

Salvage teams find no crew aboard. They do locate a pair of red ryders with big rings attached to their shoulders. Look like the shield emitters on the Liberty and Bianca.","sunrider_mission4_salvage2:Continue
sunrider_mission4_salvage19:>> (dev) Skip to romance scene",
sunrider_mission4_salvage2,DialogOptionSelected,$option == sunrider_mission4_salvage2,ShowPersonVisual true sunrider_ava,"In the shuttle bay, you watch a salvage team unload a sealed cryopod. The opaque cover gives no hint of who might be inside.

""Found it in a sealed emergency compartment, $playerSirOrMadam,"" the crew chief says. ""Suzuki's people were pretty sloppy or they would have found it.""

You give Ava standing beside you a glance. Could this be someone else from her own galaxy?",sunrider_mission4_salvage3:Open sesame,
sunrider_mission4_salvage3,DialogOptionSelected,$option == sunrider_mission4_salvage3,"ShowPersonVisual true sunrider_celia
Sunrider_PlayInteractionMusic SunriderAnguish true","The pod cycles through warm-up, and the pod exhales white puffs as its cover slides back to reveal a petite young woman with short periwinkle hair, wearing a black armored bodysuit.

You hear a startled gasp next to you, and see that Ava has drawn her sidearm.","sunrider_mission4_salvage4:""Ava, what—""",
sunrider_mission4_salvage4,DialogOptionSelected,$option == sunrider_mission4_salvage4,ShowSecondPerson sunrider_ava,"""Captain, you must detain that woman at once. She is extremely dangerous and not to be trusted under any circumstances.""

The stirring girl's languid motions seem to make a mockery of Ava's fears. Her grey-blue eyes flutter open, and she starts to sit up, but seems to lack the strength to get all the way upright.

""Where am I?"" Her voice is almost a whisper.","sunrider_mission4_salvage5a:Introduce yourself
sunrider_mission4_salvage5b:""In a shuttle bay, on a ship.""",
sunrider_mission4_salvage5a,DialogOptionSelected,$option == sunrider_mission4_salvage5a,,"You explain that you are $playerName, a starfarer of the Persean Sector. You recovered her from a derelict ship in the $sunrider_mission4_targetSystem system.

She brings a hand to her temple. ""I do not know this Persean Sector you speak of. I would consult the mindstream, but it is silent... and that, alone, may say more than I wished to know.""

Her head turns slowly, ever so delicately. ""...It seems the ex-girlfriend is here, too. Did Shields kick you out of the harem, in the end?""

The only sound in the room is Ava racking the slide on her pistol. She points it at the girl, finger inside the guard.",sunrider_mission4_salvage6:Order Ava to stand down,
sunrider_mission4_salvage5b,DialogOptionSelected,$option == sunrider_mission4_salvage5b,,"""Ah, a comedian."" She starts to laugh, but it turns into a coughing fit. ""Well, your uniforms certainly aren't Alliance or PACT. And the mindstream... is silent.""

Her head turns slowly, ever so delicately. ""...It seems the ex-girlfriend is here, too. Did Shields kick you out of the harem, in the end?""

The only sound in the room is Ava racking the slide on her pistol. She points it at the girl, finger inside the trigger guard.",sunrider_mission4_salvage6:Order Ava to stand down,
sunrider_mission4_salvage6,DialogOptionSelected,$option == sunrider_mission4_salvage6,"Highlight ""Prototype""","She barely seems to hear you. ""Captain, this is a Prototype. An artificial superhuman, genetically enhanced and cloned en masse, connected through a hivemind. These things are unpredictable and ruthless. Their sole motivation is the dominance of all humanity.""

""There's no need for the gun, ex-girlfriend."" The girl wheezes. ""Just... a few hours alone will do the job, anyway.""

The cryopod emits an alarming shrill as she slumps over like a doll. A medical officer steps forward. ""Captain, her vitals are unstable. We need to get her to sickbay now.""",sunrider_mission4_salvage7:Continue,
sunrider_mission4_salvage7,DialogOptionSelected,$option == sunrider_mission4_salvage7,"HideSecondPerson
ShowPersonVisual true sunrider_ava","You let the medical staff whisk their patient out of the cryopod and onto a stretcher. She demonstrates all the motion of a mannequin in the process.

Only when she is out of sight does Ava lower her sidearm, exhaling slowly. ""I apologize for getting carried away, captain. But I repeat: Do not trust a Prototype. In my galaxy, they were mass infiltrators in our governments, our corporations, our societies. All strings manipulating us like puppets.""","sunrider_mission4_salvage8a:Acknowledge her words
sunrider_mission4_salvage8b:Play devil's advocate",
sunrider_mission4_salvage8a,DialogOptionSelected,$option == sunrider_mission4_salvage8a,,"You thank her for the warning. The Sector already has enough spies, agents and manipulators without importing them from a foreign galaxy.

Either way, the prisoner might be worth interrogating. The medical staff refuse to let anyone in for an hour, but eventually you and Ava get to step into the medbay.",sunrider_mission4_salvage9:Continue,
sunrider_mission4_salvage8b,DialogOptionSelected,$option == sunrider_mission4_salvage8b,,"The 'Prototype', as Ava called her, is on the brink of death. And if she's from Ava's galaxy, it's unlikely that a horde of them have managed to cross into the Sector. As dangerous as their kind might be where they came from, they have no power here.

Ava rubs the 'wounded' side of her face. ""That may be so, captain. But even then, I can only recommend the utmost caution in dealing with the prisoner. She will certainly seize any opportunity to spread dissension among our ranks.""

Either way, the Prototype might be worth interrogating. The medical staff refuse to let anyone in for an hour, but eventually you and Ava get to step into the medbay.",sunrider_mission4_salvage9:Continue,
